cluster,wlthindf,latitude,longitude
453,-0.27361,-1.649106,30.070285
454,-0.330225,-1.536608,30.248538
455,-0.36557,-2.39019,28.981013
456,-0.29715,-1.786748,29.94159
457,-0.4232,-1.64012,29.920405
458,-0.308775,-2.129858,30.23213
459,-0.024985,-1.951422,30.266767
460,1.780695,-1.962138,30.037816
461,2.547345,-1.975932,30.041413
462,-0.522915,-2.682618,29.81228
463,-0.40975,-2.187308,29.392258
464,-0.316415,-1.853775,30.05054
465,-0.50576,-2.075093,29.587154
466,-0.10028,-1.964067,30.60644
467,0.12371,-2.203129,30.51851
468,-0.572355,-2.433123,29.547916
469,-0.42667,-1.658179,29.337824
470,-0.45228,-2.709279,29.546921
471,-0.602765,-2.461804,29.641229
472,-0.07872,-2.09527,30.738608
473,-0.180235,-2.425081,29.842916
474,-0.519535,-2.026905,29.801989
475,-0.413445,-1.584633,29.745352
476,-0.44463,-1.430599,29.67574
477,-0.04091,-1.95007,30.141162
478,-0.39664,-2.312788,30.080022
479,-0.649635,-2.599329,29.842978
480,-0.41096,-1.467539,29.608849
481,2.432185,-1.979686,30.140415
482,-0.25738,-1.744176,30.366519
483,-0.369555,-1.643778,30.307225
484,-0.565495,-1.688078,30.291257
485,-0.29723,-2.343529,30.699
486,-0.14447,-2.336048,30.288211
487,-0.38767,-2.084839,29.405355
488,-0.52431,-2.389778,29.451722
489,-0.388025,-2.144317,30.348895
490,0.32809,-1.96783,30.441541
491,-0.27855,-1.441294,30.063765
492,-0.31016,-2.019624,29.694921
